ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	[Age]Value	[Gender]Value	[Language]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Face]Hit	AOI[Incongruent]Hit	AOI[Congruent]Hit	AOI[Rectangle]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														30	12:09:43.115	1517574079958423															0			Unclassified	4																									1																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														38	12:09:43.124	1517574079966771															0			Unclassified	8																									2																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														47	12:09:43.132	1517574079975106															0			Unclassified	8																									3																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														55	12:09:43.140	1517574079983463															0			Unclassified	8																									4																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														63	12:09:43.149	1517574079991819															0			Unclassified	8																									5																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														72	12:09:43.157	1517574080000081															0			Unclassified	8																									6																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														80	12:09:43.165	1517574080008429															0			Unclassified	8																									7	-1287	70	-1770	-115	-1528	-22			-516.49	261.56	-710.54	336.10	-613.52	298.83	314.62	209.61	631.89	314.62	209.61	631.89					668.01	668.01	5.41	5.38	1	3				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														88	12:09:43.174	1517574080016775															0			Unclassified	8																									8																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														97	12:09:43.182	1517574080025132															0			Unclassified	8																									9																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														105	12:09:43.190	1517574080033487															0			Unclassified	8																									10																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														113	12:09:43.199	1517574080041757															0			Unclassified	8																									11																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O2	7	F	Monolingual	G38	02/02/2018	100628	1280 x 720		Raw Data														122	12:09:43.207	1517574080050085															0			Unclassified	8																									12																			-34.01										4	4				
