ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	[Age]Value	[Gender]Value	[Language]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[Face]Hit	AOI[Incongruent]Hit	AOI[Congruent]Hit	AOI[Rectangle]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	AOI[Incongruent]Hit	AOI[Face]Hit	AOI[Congruent]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														38	13:35:17.996	1517924809426927															0			Unclassified	4																									1																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														47	13:35:18.005	1517924809435287															0			Unclassified	8																									2																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														55	13:35:18.013	1517924809443643															0			Unclassified	8																									3																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														63	13:35:18.021	1517924809451923															0			Unclassified	8																									4																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														71	13:35:18.030	1517924809460271															0			Unclassified	8																									5																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														80	13:35:18.038	1517924809468599															0			Unclassified	8																									6																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														88	13:35:18.046	1517924809476942															0			Unclassified	8																									7																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														97	13:35:18.055	1517924809485312															0			Unclassified	8																									8																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														105	13:35:18.063	1517924809493580															0			Unclassified	8																									9																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														113	13:35:18.071	1517924809501919															0			Unclassified	8																									10																			-34.01										4	4				
07/12/2018	3.3.2	Gaze Project	O4	7	F	Monolingual	G44	06/02/2018	101718	1280 x 720		Raw Data														121	13:35:18.080	1517924809510268															0			Unclassified	8																									11																			-34.01										4	4				
